gene	method	split	cohort	rarity	n	called	correct	accuracy_all	call_rate	accuracy_called	majority_accuracy
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	ALL	unseen	25	7	0	0.0	0.28	0.0	0.0
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	APR	ALL	105	28	26	0.24761904761904763	0.26666666666666666	0.9285714285714286	0.11428571428571428
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	CPC-Chinese	ALL	104	46	45	0.4326923076923077	0.4423076923076923	0.9782608695652174	0.11538461538461539
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	HPRC-EastAsian	ALL	70	8	8	0.11428571428571428	0.11428571428571428	1.0	0.1
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	HPRC-Japanese	ALL	32	7	7	0.21875	0.21875	1.0	0.0625
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	HPRC-Jewish	ALL	2	0	0	0.0	0.0		0.0
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	HPRC-Rest	ALL	360	139	134	0.37222222222222223	0.3861111111111111	0.9640287769784173	0.03611111111111111
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	3	3	0.3	0.3	1.0	0.0
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	JaSaPaGe-Saudi	ALL	17	2	2	0.11764705882352941	0.11764705882352941	1.0	0.0
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	KPanRef-Korean	ALL	26	6	6	0.23076923076923078	0.23076923076923078	1.0	0.11538461538461539
HLA-A	gene_bundles_fixed_panel	leave_family_out	ALL	ALL	726	165	159	0.2190082644628099	0.22727272727272727	0.9636363636363636	0.12672176308539945
HLA-A	gene_bundles_fixed_panel	leave_family_out	ALL	more_than_5_donors	670	152	150	0.22388059701492538	0.22686567164179106	0.9868421052631579	0.1373134328358209
HLA-A	gene_bundles_fixed_panel	leave_family_out	ALL	rare_1_to_5_donors	43	9	9	0.20930232558139536	0.20930232558139536	1.0	0.0
HLA-A	gene_bundles_fixed_panel	leave_family_out	ALL	unseen	13	4	0	0.0	0.3076923076923077	0.0	0.0
HLA-A	gene_bundles_fixed_panel	leave_family_out	APR	ALL	105	25	23	0.21904761904761905	0.23809523809523808	0.92	0.11428571428571428
HLA-A	gene_bundles_fixed_panel	leave_family_out	CPC-Chinese	ALL	104	21	20	0.19230769230769232	0.20192307692307693	0.9523809523809523	0.11538461538461539
